,Varname,Date,Index,N,date,f_date,period,value,GUNLAWNORC,PEWGUN,FIREARMSGALLUP,BANGUNSGALLUP,GUNABC,BANGUNSCBS,STRICTORCGALLUP,GUNSTRICTCBS,GUNABCHARRIS,BANGUNSPEW,GUNABCAP,HANDGUNGALLUP,STRICTORC,GUNABCYANK,FIREARMSNBC,BANGUNSABC,GUNDIF,HANDGUNS,GUNSTRICTGALLUP,HALLGUNS,GUNLAWY,HHANDGUN,mood,tone,pro,anti,stories,prev_mood,mood_diff,pro_max,anti_max,dom_pro,dom_anti,surge_pro_abs,surge_pro,surge_anti_abs,surge_anti,tone_surge,tone_surge_abs,tone_max_diff,tone_dom_diff,surge_diff,surge_diff_abs
147,GUNLAWNORC,2/15/93,78.53,312,1993-02-15,1993.12328767,58,0.7853,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7853,0.474053433085,0.683516950213,0.209463517128,47.0,0.830949858133,-0.0456498581326,0.220159632185,0.051792816656,0.0940204868216,0.00585314116066,4.03733247342,0.0448771255386,1.00730732799,0.0139436360429,0.0220887883351,6.009784144,0.168366815529,0.0881673456609,0.0309334894956,3.03002514543
48,FIREARMSGALLUP,3/12/93,94.59,1007,1993-03-12,1993.19178082,61,0.9459,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.872346883258,0.433416158581,0.657416756726,0.224000598145,62.0,0.830303181879,0.0420437013784,0.285891095619,0.0820110462851,0.198877656735,0.0429772433784,11.3012379585,0.121172891264,3.53468669904,0.0422675034484,-0.0171484798553,9.299780933,0.203880049334,0.155900413357,0.0789053878157,7.76655125949
23,BANGUNSGALLUP,3/15/93,43.75,4,1993-03-15,1993.2,62,0.4375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877166959314,0.420459212306,0.652040349708,0.231581137403,72.0,0.830087583224,0.0470793760906,0.289859058325,0.0778164894548,0.210799169658,0.0360783261702,14.8854645588,0.123626068307,4.41717324448,0.0448827673364,-0.105040358278,11.355078745,0.212042568871,0.174720843487,0.0787433009711,10.4682913143
7,BANGUNSCBS,3/15/93,42.71,4,1993-03-15,1993.2,62,0.4271,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826640843947,0.420459212306,0.652040349708,0.231581137403,72.0,0.830087583224,-0.00344673927696,0.289859058325,0.0778164894548,0.210799169658,0.0360783261702,14.8854645588,0.123626068307,4.41717324448,0.0448827673364,-0.105040358278,11.355078745,0.212042568871,0.174720843487,0.0787433009711,10.4682913143
148,GUNLAWNORC,4/15/93,84.12,743,1993-04-15,1993.28493151,66,0.8412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8412,0.370429738576,0.625461363818,0.255031625242,66.0,0.829225813875,0.0119741861255,0.28073576035,0.076514955152,0.206539733768,0.0294634642452,8.18105747044,0.0605761281657,2.6157246572,0.0247221384961,-0.103623694509,2.167851391,0.204220805198,0.177076269523,0.0358539896696,5.56533281324
187,GUNLAWY,8/12/93,61.29,500,1993-08-12,1993.6109589,83,0.6129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.842483195325,0.474224191578,0.693116515556,0.218892323978,45.0,0.825620793773,0.0168624015518,0.206022053767,0.0421618177653,0.112552170477,0.0109811126042,1.98391670813,0.0416526277177,0.417589447607,0.00846834994286,0.0297836031254,2.673583906,0.163860236002,0.101571057873,0.0331842777748,1.56632726052
250,PEWGUN,12/2/93,62.64,1479,1993-12-02,1993.91780822,99,0.6264,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823087000591,0.455058030011,0.669976188223,0.214918158213,188.0,0.822446448932,0.000640551659372,0.337180855416,0.079681642526,0.24748701352,0.0419878253184,44.032665049,0.101115785059,11.1134065602,0.0325262494196,-0.0212129923552,46.496685808,0.25749921289,0.205499188202,0.0685895356397,32.9192584888
8,BANGUNSCBS,12/5/93,50.0,1289,1993-12-05,1993.9260274,99,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899540843947,0.455058030011,0.669976188223,0.214918158213,188.0,0.822446448932,0.0770943950148,0.337180855416,0.079681642526,0.24748701352,0.0419878253184,44.032665049,0.101115785059,11.1134065602,0.0325262494196,-0.0212129923552,46.496685808,0.25749921289,0.205499188202,0.0685895356397,32.9192584888
24,BANGUNSGALLUP,12/15/93,39.39,4,1993-12-15,1993.95342466,101,0.3939,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833566959314,0.478076668991,0.682149594825,0.204072925835,212.0,0.822073889154,0.0114930701605,0.33277544305,0.0730055337204,0.233664813633,0.0376925291133,50.0476362527,0.127767866312,10.5304813666,0.0235386158993,0.0395052476206,57.495111689,0.259769909329,0.19597228452,0.104229250413,39.5171548861
37,BANGUNSPEW,12/15/93,46.88,4,1993-12-15,1993.95342466,101,0.4688,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.76014824158,0.478076668991,0.682149594825,0.204072925835,212.0,0.822073889154,-0.0619256475732,0.33277544305,0.0730055337204,0.233664813633,0.0376925291133,50.0476362527,0.127767866312,10.5304813666,0.0235386158993,0.0395052476206,57.495111689,0.259769909329,0.19597228452,0.104229250413,39.5171548861
251,PEWGUN,12/15/93,62.64,4,1993-12-15,1993.95342466,101,0.6264,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823087000591,0.478076668991,0.682149594825,0.204072925835,212.0,0.822073889154,0.00101311143749,0.33277544305,0.0730055337204,0.233664813633,0.0376925291133,50.0476362527,0.127767866312,10.5304813666,0.0235386158993,0.0395052476206,57.495111689,0.259769909329,0.19597228452,0.104229250413,39.5171548861
210,GUNSTRICTGALLUP,12/17/93,93.51,1014,1993-12-17,1993.95890411,101,0.9351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.834067821284,0.478076668991,0.682149594825,0.204072925835,212.0,0.822073889154,0.0119939321306,0.33277544305,0.0730055337204,0.233664813633,0.0376925291133,50.0476362527,0.127767866312,10.5304813666,0.0235386158993,0.0395052476206,57.495111689,0.259769909329,0.19597228452,0.104229250413,39.5171548861
49,FIREARMSGALLUP,12/17/93,90.54,1014,1993-12-17,1993.95890411,101,0.9054,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831846883258,0.478076668991,0.682149594825,0.204072925835,212.0,0.822073889154,0.0097729941042,0.33277544305,0.0730055337204,0.233664813633,0.0376925291133,50.0476362527,0.127767866312,10.5304813666,0.0235386158993,0.0395052476206,57.495111689,0.259769909329,0.19597228452,0.104229250413,39.5171548861
