,Issue,Varname,House,Date,Topic,Subcode,L1,L2,L3,L4,C2,C3,C4,C5,Other,Index,Source,N,Totcheck,Agenda1,Agenda2,Scope,raceoutcome,racespenddo,raceaa,aidtoblacks,EqualOpp,Added,date,f_date,period,value,GAYWED,GAYWEDPSR,GAYMARNY,HOMOMAR,GAYAMEND,PSGAYUN,GAYWEDABC,ABCCU,GAYWEDFOX,ABCBAN,CIVUNION,MARRIAGE,BANMAR,MARHOMO,GAYMAR,mood,tone,pro,anti,stories,prev_mood,mood_diff,pro_max,anti_max,dom_pro,dom_anti,surge_pro_abs,surge_pro,surge_anti_abs,surge_anti,tone_surge,tone_surge_abs,tone_max_diff,tone_dom_diff,surge_diff,surge_diff_abs
61,same-sex,GAYWED,GALLUP,3/1/96,150,151,27.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,5.0,28.42,Polling Report 7-16-05,469,100.0,200,210,0,0,0,0,0,1,0,1996-03-01,1996.16393443,216,0.2842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2842,0.180912931714,0.501694846321,0.320781914607,28.0,0.285058776792,-0.000858776792498,0.124982557123,0.0776503334563,0.0271904633269,0.0124013565323,2.97903069979,0.0849455648421,2.06864604393,0.0695300801601,-0.215853003901,-0.092395075,0.0473322236668,0.0147891067945,0.015415484682,0.910384655868
257,same-sex,HOMOMAR,GALLUP,3/15/96,150,151,27.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,5.0,28.42,USGALLUP.96MR15.R44,1008,100.0,202,210,0,0,0,0,0,1,0,1996-03-15,1996.20218579,218,0.2842,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.293152462491,0.0953295617292,0.445985826563,0.350656264833,48.0,0.285943755141,0.00720870734958,0.0866551441092,0.0949084562655,0.00271525702189,0.0265115328946,3.34960947262,0.0386395465827,4.3238299027,0.0794567230627,-0.339289000671,-1.943459473,-0.00825331215629,-0.0237962758727,-0.04081717648,-0.97422043008
62,same-sex,GAYWED,PSRA,5/31/96,150,151,6.0,21.0,0.0,0.0,0.0,0.0,24.0,41.0,8.0,29.35,USPSRA.062596.R13D,1975,100.0,200,210,0,0,0,0,0,1,0,1996-05-31,1996.41256831,229,0.2935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2935,0.0343642684239,0.42456387137,0.390199602946,92.0,0.290742730016,0.00275726998414,0.148813207099,0.172527331311,0.0906392332066,0.109285382263,6.59149588415,0.0515622595791,7.66932816451,0.0601549160219,-0.0578484825898,-3.570018129,-0.0237141242122,-0.0186461490562,-0.00859265644283,-1.07783228036
248,same-sex,ABCCU,ABCWP,8/1/96,150,151,37.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,3.0,38.54,USABCWP.080996.R02M,1514,99.0,202,210,0,0,0,0,0,1,0,1996-08-01,1996.58196721,238,0.3854,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.279585896986,0.109427420227,0.47199709358,0.362569673352,88.0,0.294580792972,-0.0149948959868,0.177147258737,0.177839168751,0.124350705044,0.138042298023,2.58082180489,0.0312232474883,1.98379466191,0.0239248425724,0.0628998981302,4.837278204,-0.000691910013332,-0.0136915929794,0.00729840491593,0.597027142974
63,same-sex,GAYWED,GALLUP,2/1/99,150,151,35.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,3.0,36.08,Polling Report 7-16-05,469,100.0,200,210,0,0,0,0,0,1,0,1999-02-01,1999.08493151,368,0.3608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3608,0.282202964727,0.552620469545,0.270417504818,11.0,0.341677280566,0.0191227194343,0.149916845237,0.0823832135408,0.0781151896277,0.0329672568388,0.0715533905317,0.0206156455464,0.0237975684516,0.0108056643685,0.113041223527,-1.970619624,0.0675336316966,0.0451479327889,0.00980998117785,0.0477558220801
258,same-sex,HOMOMAR,GALLUP,2/8/99,150,151,35.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,3.0,36.08,USGALLUP.99FEB8.R40,1054,100.0,202,210,0,0,0,0,0,1,0,1999-02-08,1999.10410959,369,0.3608,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.369752462491,0.258720492833,0.531879661167,0.273159168333,12.0,0.341980394536,0.0277720679548,0.154949487566,0.0807690332752,0.0545741001276,0.00949989329316,0.135442366483,0.0222409900768,0.046545860596,0.0103902189824,0.0694324270926,-2.006131861,0.0741804542904,0.0450742068345,0.0118507710945,0.0888965058874
64,same-sex,GAYWED,GALLUP,1/1/00,150,151,34.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,4.0,35.42,Polling Report 7-16-05,469,100.0,200,210,0,0,0,0,0,1,0,2000-01-01,2000.0,467,0.3542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3542,0.227557234565,0.532253454609,0.304696220043,23.0,0.365264090941,-0.0110640909411,0.137633163031,0.115422150213,0.0555183056968,0.0744338734841,2.51019427435,0.117773512262,2.16944283131,0.100717101013,-0.108561309677,-5.858095565,0.0222110128176,-0.0189155677872,0.0170564112492,0.340751443047
150,same-sex,GAYWEDFOX,FOX,1/12/00,150,151,19.0,24.0,0.0,0.0,0.0,0.0,0.0,47.0,10.0,47.78,USODFOX.011400.R22,900,100.0,200,210,0,0,0,0,0,1,0,2000-01-12,2000.03005464,417,0.4778,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.294919113349,0.302473201756,0.563599208415,0.261126006659,41.0,0.355120189568,-0.0602010762189,0.253213289086,0.0920845326184,0.183544477816,0.0482945621998,8.17177913203,0.201818737447,2.61164013188,0.0650188185377,0.086543987384,3.116445054,0.161128756468,0.135249915616,0.136799918909,5.56013900015
65,same-sex,GAYWED,ODFOX,1/12/00,150,151,19.0,24.0,0.0,0.0,0.0,0.0,0.0,47.0,10.0,47.78,USODFOX.011400.R22,902,100.0,200,210,0,0,0,0,0,1,0,2000-01-12,2000.03005464,417,0.4778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4778,0.302473201756,0.563599208415,0.261126006659,41.0,0.355120189568,0.122679810432,0.253213289086,0.0920845326184,0.183544477816,0.0482945621998,8.17177913203,0.201818737447,2.61164013188,0.0650188185377,0.086543987384,3.116445054,0.161128756468,0.135249915616,0.136799918909,5.56013900015
259,same-sex,HOMOMAR,GALLUP,1/13/00,150,151,34.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,4.0,35.42,USGALLUP.00JA13.R24,1027,100.0,202,210,0,0,0,0,0,1,0,2000-01-13,2000.03278689,417,0.3542,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.363152462491,0.302473201756,0.563599208415,0.261126006659,41.0,0.355120189568,0.00803227292314,0.253213289086,0.0920845326184,0.183544477816,0.0482945621998,8.17177913203,0.201818737447,2.61164013188,0.0650188185377,0.086543987384,3.116445054,0.161128756468,0.135249915616,0.136799918909,5.56013900015
66,same-sex,GAYWED,PSRA,3/5/01,150,151,8.0,27.0,0.0,0.0,0.0,0.0,34.0,23.0,8.0,38.04,USPSRA.041001.R05B,2041,100.0,200,210,0,0,0,0,0,1,0,2001-03-05,2001.17260274,477,0.3804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3804,0.2306858371,0.52460690165,0.29392106455,20.0,0.366812768764,0.0135872312362,0.147063912474,0.12205210381,0.0680644203562,0.0642616132664,1.21683261949,0.0510643211282,0.953196716474,0.0422048678979,-0.0739631034385,0.653280515,0.0250118086644,0.00380280708978,0.00885945323033,0.263635903017
260,same-sex,HOMOMAR,GALLUP,5/6/02,150,151,34.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,4.0,35.42,USGALLUP.082202.R2A,1012,100.0,202,210,0,0,0,0,0,1,0,2002-05-06,2002.34246575,538,0.3542,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.363152462491,0.4014947155,0.626788814917,0.225294099417,12.0,0.373520442848,-0.0103679803572,0.148835738294,0.0676968115435,0.0564736594504,0.0355189871378,0.754676345153,0.0569952187465,0.263222051406,0.0206602059478,-0.0107593055,0.695396376,0.0811389267509,0.0209546723126,0.0363350127986,0.491454293746
67,same-sex,GAYWED,GALLUP,6/15/03,150,151,39.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,6.0,41.49,Polling Report 7-16-05,469,100.0,200,210,0,0,0,0,0,1,0,2003-06-15,2003.45205479,595,0.4149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4149,0.397529985269,0.619721512923,0.222191527654,26.0,0.379799844413,0.0351001555871,0.13050135172,0.0426723999151,0.0463571500169,0.00403555569247,1.81054475509,0.042585218963,0.803460392721,0.0274647577189,0.0044774879359,3.260834665,0.0878289518049,0.0423215943244,0.0151204612442,1.00708436237
68,same-sex,GAYWED,PSRA,6/24/03,150,151,10.0,28.0,0.0,0.0,0.0,0.0,23.0,30.0,9.0,41.76,USPSRA.072403.R02EF1,2002,100.0,200,210,0,0,0,0,0,1,0,2003-06-24,2003.47671233,597,0.4176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4176,0.464897787551,0.651837731061,0.18693994351,49.0,0.380102941803,0.0374970581966,0.134659130581,0.0442129687148,0.0205012627572,0.0156908883062,3.57884947915,0.0265541267712,1.07239664705,-0.00335393650167,0.0750020235075,13.812389017,0.090446161866,0.004810374451,0.0299080632729,2.50645283211
261,same-sex,HOMOMAR,GALLUP,6/27/03,150,151,39.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,7.0,41.49,USGALLUP.200335.Q21,1003,101.0,202,210,0,0,0,0,0,1,0,2003-06-27,2003.48493151,597,0.4149,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.423852462491,0.464897787551,0.651837731061,0.18693994351,49.0,0.380102941803,0.0437495206877,0.134659130581,0.0442129687148,0.0205012627572,0.0156908883062,3.57884947915,0.0265541267712,1.07239664705,-0.00335393650167,0.0750020235075,13.812389017,0.090446161866,0.004810374451,0.0299080632729,2.50645283211
11,same-sex,GAYAMEND,GALLUP,7/15/03,150,151,45.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,47.37,Polling Report 7-16-05,469,100.0,200,210,0,0,0,0,0,1,0,2003-07-15,2003.53424658,600,0.4737,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.389272758693,0.353781078511,0.591953667337,0.238172588826,92.0,0.380571406761,0.00870135193168,0.143400730478,0.0762736506935,0.0315987739279,0.0221399816249,9.84156752636,-0.0241642534033,6.01471682662,0.0261506988345,-0.0553806380391,24.364624892,0.0671270797847,0.00945879230305,-0.0503149522377,3.82685069974
69,same-sex,GAYWED,ABC,9/3/03,150,151,37.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,7.0,40.22,USABC.092203.R02,1028,99.0,200,210,0,0,0,0,0,1,0,2003-09-03,2003.67123288,607,0.4022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4022,0.250296847151,0.537669836151,0.287372989,126.0,0.381729730673,0.020470269327,0.135749538464,0.0881551522991,0.0284482885065,0.0154822459792,10.4662698292,0.0547962211796,6.24419751944,0.0371535322117,-0.0888855297395,3.724447836,0.0475943861651,0.0129660425273,0.0176426889679,4.22207230972
249,same-sex,ABCCU,ABC,9/3/03,150,151,40.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,9.0,43.96,USABC.092203.R01,1028,100.0,202,210,0,0,0,0,0,1,0,2003-09-03,2003.67123288,607,0.4396,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333785896986,0.250296847151,0.537669836151,0.287372989,126.0,0.381729730673,-0.0479438336873,0.135749538464,0.0881551522991,0.0284482885065,0.0154822459792,10.4662698292,0.0547962211796,6.24419751944,0.0371535322117,-0.0888855297395,3.724447836,0.0475943861651,0.0129660425273,0.0176426889679,4.22207230972
138,same-sex,GAYWEDABC,ABC,9/3/03,150,151,37.0,0.0,,,,,0.0,55.0,7.0,40.22,USABC.092203.R02,1028,99.0,200,210,0,0,0,0,0,1,0,2003-09-03,2003.67123288,607,0.4022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.387220929709,0.250296847151,0.537669836151,0.287372989,126.0,0.381729730673,0.00549119903638,0.135749538464,0.0881551522991,0.0284482885065,0.0154822459792,10.4662698292,0.0547962211796,6.24419751944,0.0371535322117,-0.0888855297395,3.724447836,0.0475943861651,0.0129660425273,0.0176426889679,4.22207230972
70,same-sex,GAYWED,ABCWP,9/15/03,150,151,37.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,7.0,40.22,Polling Report 7-16-05,469,99.0,200,210,0,0,0,0,0,1,0,2003-09-15,2003.70410959,609,0.4022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4022,0.220690518915,0.522165647805,0.30147512889,118.0,0.382077536663,0.0201224633366,0.121963193259,0.0884358601318,0.00734191922821,0.000413069528804,8.10629519038,0.0564906764447,7.40069194195,0.0568239897818,-0.127753252522,-7.409120826,0.033527333127,0.00692884969941,-0.000333313337161,0.705603248426
72,same-sex,GAYWED,PEW,10/15/03,150,151,30.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,12.0,34.09,Polling Report 7-16-05,469,100.0,200,210,0,0,0,0,0,1,0,2003-10-15,2003.78630137,613,0.3409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3409,0.245945389783,0.53258542837,0.286640038587,46.0,0.382795566135,-0.0418955661347,0.11673880251,0.107113295985,0.00565732873636,0.0324898618013,0.0,0.0,0.0,0.0,0.00748063898951,-23.263900935,0.00962550652429,-0.0268325330649,0.0,0.0
73,same-sex,GAYWED,PSRA,10/15/03,150,151,9.0,23.0,0.0,0.0,0.0,0.0,24.0,35.0,9.0,35.16,USPSRA.111803.R17,1515,100.0,200,210,0,0,0,0,0,1,0,2003-10-15,2003.78630137,613,0.3516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3516,0.245945389783,0.53258542837,0.286640038587,46.0,0.382795566135,-0.0311955661347,0.11673880251,0.107113295985,0.00565732873636,0.0324898618013,0.0,0.0,0.0,0.0,0.00748063898951,-23.263900935,0.00962550652429,-0.0268325330649,0.0,0.0
227,same-sex,PSGAYUN,PSRA,10/15/03,150,151,13.0,28.0,0.0,0.0,0.0,0.0,21.0,30.0,8.0,44.57,USPSRA.111803.R18,1515,100.0,200,210,0,0,0,0,0,1,0,2003-10-15,2003.78630137,613,0.4457,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.322394896051,0.245945389783,0.53258542837,0.286640038587,46.0,0.382795566135,-0.0604006700842,0.11673880251,0.107113295985,0.00565732873636,0.0324898618013,0.0,0.0,0.0,0.0,0.00748063898951,-23.263900935,0.00962550652429,-0.0268325330649,0.0,0.0
71,same-sex,GAYWED,GALLUP,10/15/03,150,151,35.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,4.0,36.46,Polling Report 7-16-05,469,100.0,200,210,0,0,0,0,0,1,0,2003-10-15,2003.78630137,613,0.3646,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3646,0.245945389783,0.53258542837,0.286640038587,46.0,0.382795566135,-0.0181955661347,0.11673880251,0.107113295985,0.00565732873636,0.0324898618013,0.0,0.0,0.0,0.0,0.00748063898951,-23.263900935,0.00962550652429,-0.0268325330649,0.0,0.0
262,same-sex,HOMOMAR,GALLUP,10/24/03,150,151,35.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,4.0,36.46,USGALLUP.200347.Q42,1006,100.0,202,210,0,0,0,0,0,1,0,2003-10-24,2003.8109589,614,0.3646,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.373552462491,0.275477574846,0.548971359436,0.27349378459,39.0,0.382979721542,-0.0094272590507,0.119927327522,0.0950280034452,0.0151167944497,0.0212135255338,0.0,0.0,0.0,0.0,0.0208504116001,-21.33939715,0.0248993240765,-0.00609673108412,0.0,0.0
74,same-sex,GAYWED,PEW,11/15/03,150,151,30.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,8.0,32.61,Polling Report 7-16-05,469,100.0,200,210,0,0,0,0,0,1,0,2003-11-15,2003.87123288,617,0.3261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3261,0.204153498325,0.5074174542,0.303263955875,40.0,0.383543253726,-0.0574432537261,0.11749006088,0.103225020321,0.023696903699,0.0221906509595,0.0,0.0,0.0,0.0,-0.0165370205903,-17.875341299,0.0142650405596,0.00150625273959,0.0,0.0
75,same-sex,GAYWED,PSRA,11/18/03,150,151,15.0,25.0,0.0,0.0,0.0,0.0,19.0,33.0,8.0,43.48,USPSRA.120803.R27B,469,100.0,200,210,0,0,0,0,0,1,0,2003-11-18,2003.87945205,618,0.4348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4348,0.245620028266,0.524234942904,0.278614914638,94.0,0.383734762889,0.0510652371108,0.177767237109,0.0858132707809,0.0865830340599,0.0146967766403,13.7245668433,0.140447819047,4.67243193525,0.045960012716,0.000943510090957,3.514161203,0.0919539663285,0.0718862574196,0.0944878063312,9.05213490806
